Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
1987,NA,11/29/1986,Sat,REG,A,Hawaii,NA,WAC,W,118,80,NA,NA,NA,NA,NA
1985,NA,12/29/1984,Sat,REG,A,Hawaii Pacific,NA,NA,W,88,69,NA,NA,NA,NA,NA
1975,NA,11/30/1974,Sat,REG,H,St. Thomas,NA,NA,W,101,74,NA,NA,NA,NA,NA
1974,NA,12/28/1973,Sat,REG,A,St. Thomas,NA,NA,W,112,72,NA,NA,NA,NA,NA
1973,NA,11/25/1972,Sat,REG,H,St. Thomas,NA,NA,W,107,62,NA,NA,NA,NA,NA
1970,NA,12/1/1969,Mon,REG,H,Florida Southern,NA,NA,W,112,47,NA,NA,NA,NA,NA
1970,NA,12/3/1969,Wed,REG,H,Mercer,NA,NA,W,100,52,NA,NA,NA,NA,NA
1957,NA,1/30/1957,Wed,REG,A,Western Carolina,NA,NA,W,77,59,NA,NA,NA,NA,NA
1953,NA,1/6/1953,Tue,REG,A,East Carolina,NA,NA,W,79,66,NA,NA,NA,NA,NA
1952,NA,12/17/1951,Mon,REG,A,Hanes Hosiery,NA,NA,W,70,59,NA,NA,NA,NA,NA
1951,NA,11/29/1950,Wed,REG,A,McCrary Eagles,NA,NA,W,84,57,NA,NA,NA,NA,NA
1951,NA,12/2/1950,Sat,REG,A,Elon,NA,NA,W,57,48,NA,NA,NA,NA,NA
1951,NA,12/5/1950,Tue,REG,A,Hanes Hosiery,NA,NA,W,75,58,NA,NA,NA,NA,NA
1951,NA,12/20/1950,Wed,REG,H,Eastern Kentucky,NA,NA,L,62,85,NA,NA,NA,NA,NA
1950,NA,12/1/1949,Thu,REG,H,Elon,NA,NA,W,57,39,NA,NA,NA,NA,NA
1950,NA,12/7/1949,Wed,REG,A,Lenoir-Rhyne,NA,NA,L,78,79,OT,NA,NA,NA,NA
1950,NA,1/5/1950,Thu,REG,A,Hanes Hosiery,NA,NA,L,48,50,NA,NA,NA,NA,NA